doi,title,type,year,author,booktitle,pages,issue,volume,publisher,place,conference,date,abstract,repo_venue_tags,repo_analysis_tags,system_type_tag
10.1109/icc52391.2025.11162081,When Honest Nodes in PBFT Consensus Meet Software Aging: SMP-Based Performability Evaluation,inproceedings,2025,Yueqi Jiang; Xiaolin Chang; Jelena Mišić; Vojislav B. Mišić; Yingying Yao; Junchao Fan; Bocheng Ju,ICC 2025 - IEEE International Conference on Communications,2725-2730,,,IEEE,,ICC 2025 - IEEE International Conference on Communications,2025-6-8,"Availability and/or performance of PBFT (Practical Byzantine Fault Tolerance) consensus service has been widely studied. However, the existing studies overlook the situation of software aging of honest nodes, which can degrade system performance over time. Rejuvenation techniques can mitigate the negative impact of aging. This paper aims to make a quantitative joint analysis of availability and performance (a.k.a performability) of PBFT consensus service in the scenario where honest nodes are susceptible to software aging and rejuvenation techniques are adopted for recovery. We propose a Semi-Markov process (SMP) based approach for model-based evaluation. Unlike traditional models that rely on exponential distributions, our approach allows the time intervals of all events to follow general distributions, thereby enable a more nuanced analysis of PBFT dynamics. We detail the modeling process and the derivation of metric formulas. We also carry out numerical analysis for the evaluation to assess the performability of PBFT consensus service.",ICC,model-based,区块链
10.1109/metacom65502.2025.00020,Metaverse Cloud-Edge Computing: On Aging Dependability of a Cloud-Edge-in-the-loop Simulation Platform for AAM Vehicle Digital Twin,inproceedings,2025,Tuan Anh Nguyen; Damsub Lim; Seunghyeop Nam; Dugki Min; Iure Fe; Francisco Airton Silva; Paulo Maciel,"2025 International Conference on Metaverse Computing, Networking and Applications (MetaCom)",82-87,,,IEEE,,"2025 International Conference on Metaverse Computing, Networking and Applications (MetaCom)",2025-8-27,"This paper proposes a cloud–edge-in-the-loop simulation framework to ensure continuous and dependable operation of eVTOL digital twins in Advanced Air Mobility (AAM). By integrating high-fidelity flight modeling, VR-based tele-operations, and containerized software services, the platform enables scalable multi-vehicle simulations with low-latency control. To mitigate software aging, our design incorporates proactive rejuvenation and failover within both hypervisor-based clusters and Dockerhosted microservices. We then employ a two-tier modeling approach, relying on reliability graphs for network connectivity and CTMC models for dynamic aging states. Our analysis reveals that planned rejuvenation and migration policies can markedly decrease downtime, allowing the platform to maintain 24/7 availability while delivering immersive training and control interfaces in a metaverse environment.",METACO,model-based,云、边缘计算环境
10.1109/compsac65507.2025.00170,GRCEM: Generating Optimal Software Rejuvenation Strategies for Cloud-Edge Collaborative Systems Based on MADRL,inproceedings,2025,Xueyong Tan; Jing Liu,"2025 IEEE 49th Annual Computers, Software, and Applications Conference (COMPSAC)",1360-1369,,,IEEE,,"2025 IEEE 49th Annual Computers, Software, and Applications Conference (COMPSAC)",2025-7-8,"The emergence of cloud and edge computing has solidly established the Cloud-Edge collaborative architecture as an essential technology, enabling the deployment of large-scale distributed applications. However, despite the benefits conferred by Cloud-Edge collaborative systems, challenges arise from prolonged operation, rapid evolution, and resource constraints. These challenges may accelerate software aging, resulting in performance degradation, functional disruptions, and increased susceptibility to errors. Software rejuvenation acts as a preemptive and proactive maintenance strategy designed to alleviate the consequences of software aging. Although task migration is a commonly used method for software rejuvenation, addressing software aging in complex Cloud-Edge collaborative systems requires dynamic task migration to adapt to environmental changes. Therefore, to develop a task migration-based rejuvenation strategy with lower latency, energy consumption, and software rejuvenation cost, this paper introduces a method for generating software rejuvenation strategies based on Multi-Agent Deep Reinforcement Learning for Cloud-Edge collaboration systems, named GRCEM. Initially, the environment is modeled to define the state space, action space, and training rewards, meticulously designed to minimize rejuvenation costs for the Cloud-Edge collaborative system. Subsequently, a distributed execution algorithm for deep reinforcement learning is devised, treating each node as an autonomous agent responsible for acquiring knowledge and enhancing rejuvenation strategies through continuous interaction with the system environment. Finally, the rejuvenation strategy is formulated, characterized by its optimal rejuvenation cost. The experimental results demonstrate that the GRCEM method accomplishes software rejuvenation with reduced rejuvenation costs compared to the baseline method. Furthermore, the system’s performance transitions from the aging state to the robust state after rejuvenation, thereby significantly enhancing the availability and reliability of the Cloud-Edge collaboration system.",COMPSAC,measurement-based,云、边缘计算环境
10.1109/netsoft64993.2025.11080576,Performability Management of 5G Service Chains with Rejuvenation: The Open5GS Use Case,inproceedings,2025,L. De Simone; M. Di Mauro; M. Longo; R. Natella; F. Postiglione,2025 IEEE 11th International Conference on Network Softwarization (NetSoft),443-447,,,IEEE,,2025 IEEE 11th International Conference on Network Softwarization (NetSoft),2025-6-23,"This paper presents a stochastic framework for managing the performability (performance and availability) of 5G-based service function chains (SFCs). By integrating an $M / G / m$ queueing model for latency estimation and Stochastic Reward Networks (SRNs) for availability assessment, we evaluate the impact of software rejuvenation on 5 G network performability. The final goal is to derive the optimal 5G setting that meets both performance (e.g., delay threshold) and availability (e.g., the “five nines”). Our testbed, based on Open5GS, validates the model and provides insights into optimal 5G settings that balance performance, availability, and resource utilization.",NETSOF,hybrid,MEC-SFC
10.1007/s11219-024-09692-2,TTAFPred: Prediction of time to aging failure for software systems based on a two-stream multi-scale features fusion network,journal,2024,Kai Jia; Xiao Yu; Chen Zhang; Wenzhi Xie; Dongdong Zhao; Jianwen Xiang,Software Quality Journal,1481-1513,4,32,Springer Science and Business Media LLC,,,2024-7-22,,SQJ,measurement-based,Android; web服务器
10.5220/0012633900003690,"A Systematic Mapping on Software Aging and Rejuvenation Prediction Models in Edge, Fog and Cloud Architectures",inproceedings,2024,Paulo Costa; Edward Ordonez; Jean Teixeira de Araujo,Proceedings of the 26th International Conference on Enterprise Information Systems,933-942,,,SCITEPRESS - Science and Technology Publications,,26th International Conference on Enterprise Information Systems,2024,,ICEIS,综述（Measurement-Based）,云、雾、边缘计算环境
10.1145/3697090.3699798,Comparison of Machine Learning Algorithms for Detecting Software Aging in SQL Server,inproceedings,2024,Maria Gizele Nascimento; Rafael José Moura; Fumio Machida; Ermeson Andrade,Proceedings of the 13th Latin-American Symposium on Dependable and Secure Computing,159-164,,,ACM,"New York, NY, USA",LADC 2024: 13th Latin-American Symposium on Dependable and Secure Computing,2024-11-26,,,measurement-based,分布式数据库
10.3390/math12050694,Optimal Corrective Maintenance Policies via an Availability-Cost Hybrid Factor for Software Aging Systems,journal,2024,Huixia Huo,Mathematics,694,5,12,MDPI AG,,,2024-2-27,,Mathematics,model-based,非特定的
10.1016/j.jss.2024.112156,SGT: Aging-related bug prediction via semantic feature learning based on graph-transformer,journal,2024,Chen Zhang; Jianwen Xiang; Rui Hao; Wenhua Hu; Domenico Cotroneo; Roberto Natella; Roberto Pietrantuono,Journal of Systems and Software,112156,,217,Elsevier BV,,,2024-11,"Software aging, characterized by an increasing failure rate or performance decline in long-running software systems, poses significant risks including financial losses and potential harm to human life. This is primarily attributed to the accumulation of runtime errors, commonly referred to as aging-related bugs (ARBs). ARBP aims to detect and address ARBs before software release, optimizing testing resource allocation. However, ARBP’s effectiveness relies heavily on dataset quality. Prior research often relied on manually designed metrics that lack semantic features, resulting in low prediction accuracy. Some studies construct models to learn semantic features from source code, but typically focus on token-level features from abstract Syntax Trees, neglecting critical topological and functional connections. In this paper, we introduce the SGT model, an ARBP method based on Graph-Transformer. This model efficiently extracts semantic information and logical structures from source code, capturing data dependencies and program dependencies. We also propose sub-graph sampling based on node degree to reduce structural complexity and apply random oversampling to address class imbalance. Experiments on three projects demonstrate notable improvements. For instance, SGT achieved F1 scores of 0.726 and 0.706 on Linux and MySQL, respectively. Compared to ALW, SGT shows a 12.3% and 6.8% improvement on Linux and MySQL.",JSS,PRE,Linux、MySQL、AXIS、HTTPD
10.1016/j.jss.2024.112167,PMTT: Parallel multi-scale temporal convolution network and transformer for predicting the time to aging failure of software systems,journal,2024,Kai Jia; Xiao Yu; Chen Zhang; Wenzhi Xie; Dongdong Zhao; Jianwen Xiang,Journal of Systems and Software,112167,,217,Elsevier BV,,,2024-11,"Software aging is one of the significant factors affecting the reliability and availability of long-running software systems, such as Android, Cloud systems, etc. The time to aging failure (TTAF) prediction for software systems plays a crucial role in proactive rejuvenation scheduling through machine learning or statistical analysis techniques, due to its ability to determine when to perform rejuvenation to mitigate the aging effects. However, software aging characterization is relatively complicated, and only fitting the variations for a single aging indicator cannot grasp the comprehensive degradation process across different case systems; moreover, since software systems often exhibit long and short-term inherent degradation characteristics, existing prediction models possess a poor ability for modeling both global and local information simultaneously. To tackle the above problems, a novel TTAF prediction framework based on the parallel multi-scale temporal convolution network and transformer (named PMTT) is proposed, by mapping various system running indicators reflecting the software aging to TTAF. PMTT possesses the following distinctive characteristics. First, a local feature extraction module that contains multiple channel TCNs with different scales is developed to extract inherent local information from the raw input. Second, in a parallel manner, a global feature extraction module integrating transformer blocks is built to extract global information representation synchronously using the self-attention mechanism. Afterward, high-level global–local features extracted from different channels are fused, and TTAF is estimated through two fully connected regression layers using the fused features. The proposed PMTT has been compared to seven competitors using run-to-failure data collected from Android and OpenStack systems. The experiments have demonstrated the superiority of PMTT, showing an average improvement of 11.2%, 9.0%, and 9.3% in performance across three evaluation metrics compared with the optimal baseline model.",JSS,measurement-based,Android
10.1016/j.infsof.2024.107422,A method of multidimensional software aging prediction based on ensemble learning: A case of Android OS,journal,2024,Yuge Nie; Yulei Chen; Yujia Jiang; Huayao Wu; Beibei Yin; Kai-Yuan Cai,Information and Software Technology,107422,,170.0,,,,2024-06,,IST,Measurement-based（ML）,Android
10.1109/tdsc.2025.3567957,Cross-Project Aging-Related Bug Prediction Based on Transfer Learning and Class Imbalance Learning,journal,2024,Bin Xu; Dongdong Zhao; Junwei Zhou; Wenzhi Xie; Kai Jia; Jing Tian; Jianwen Xiang,IEEE Transactions on Dependable and Secure Computing,1-18,,,IEEE,,,2025,,TDSC,PRE,Linux、MySQL、AXIS、HTTPD
10.1016/j.engappai.2024.108588,A novel multi-step-ahead approach for cloud server aging prediction based on hybrid deep learning model,journal,2024,Haining Meng; Jiawei Zhang,Engineering Applications of Artificial Intelligence,108588,,133,Elsevier BV,,,2024-7,"Predicting software aging in cloud servers is essential for preventing cloud system breakdown and unexpected failures. However, the aging time series data in cloud servers often exhibits non-linearity and stochastic fluctuations, posing challenges for accurate prediction. To address this issue, this study proposes a novel multi-step ahead approach for cloud server aging prediction. Firstly, the original aging time series data is denoised using discrete wavelet transformation (DWT) and then reconstructed into multi-dimensional data by phase state reconstruction (PSR) to capture potential aging patterns. Subsequently, a deep long short-term memory network (DLSTM) is developed to predict the aging trend. Additionally, a stacked auto-encoder LSTM (SAE-LSTM) is designed to optimize the initial weight matrix of DLSTM to enhance prediction abilities. Finally, multi-step prediction experiments are conducted on our time series datasets from OpenStack cloud servers and a public dataset from Alibaba Cluster Trace Program. The comparative analysis of the proposed method with five baseline methods confirms its superiority in terms of prediction accuracy. For response time and free memory test sets, the range of root mean square error (RMSE) values are produced by the proposed method distributed in [0.1688–0.1931] and [139.05–146.05] respectively, with respect to the multi-step ahead prediction horizon from 1 up to 10. These results demonstrate that the proposed method can tackle the limitations of one-step ahead prediction, effectively extracting relevant aging features, and achieving low prediction accuracy. The study provides valuable insights into revealing future aging trends in cloud servers and offers a reference for implementing preventive maintenance and prognostics in cloud servers.",EAAI,measurement-based,云
10.1109/compsac61105.2024.00167,FOQL: Software Aging Determination and Rejuvenation Strategy Generation for Docker,inproceedings,2024,Yiming Liu; Zhuanzhuan Liu; Xueyong Tan; Jing Liu,"2024 IEEE 48th Annual Computers, Software, and Applications Conference (COMPSAC)",1268-1273,,,IEEE,,"2024 IEEE 48th Annual Computers, Software, and Applications Conference (COMPSAC)",2024-7-2,"As a platform for creating, deploying, and managing containers, Docker has long been tasked with handling high workloads, making it highly susceptible to aging-related bugs. As these bugs accumulate, the system may exhibit anomalies such as increased resource utilization, task scheduling failures, and response time delays. At this juncture, the system is subject to software aging. If left unresolved, this problem may escalate to more severe consequences such as system crashes and downtime, significantly diminishing the availability and reliability of the system. In order to address the software aging and restore system performance, it has become an urgent problem to accurately determine the aging state of the Docker platform and generate targeted rejuvenation operations reasonably and effectively. Therefore, this paper proposes a synthesis method for determining the aging state and generating rejuvenation operations, named FOQL. Firstly, the FS-OWA algorithm is employed to analyze resource usage according to the varying degrees of aging states, accurately determining whether the system is in an aging state. Secondly, if the system enters an aging state, the Q- Learning algorithm evaluates the value of each rejuvenation operation based on the degree of aging and the cost of rejuvenation operations (such as downtime), ultimately generating the optimal operation. Finally, the experimental results show that, in determining the aging state, the recognition accuracy of the FS-OWA algorithm reached 99.3%, surpassing baseline algorithms by up to 16.52 %. In generating rejuvenation operations, Q-learning algorithm generates a Q-table containing the value of each state-action pair. Based on this table, the optimal rejuvenation operation can be selected for execution. In conclusion, the utilization of the FOQL method effectively mitigates the aging problem and ensures the service quality of the system.",COMPSAC,measurement-based,Docker
10.1109/compsac61105.2024.00182,Determine When and How to Perform Edge Rejuvenation Effectively for Cloud-Edge Collaborative System,inproceedings,2024,Zhuanzhuan Liu; Yiming Liu; Xueyong Tan; Jing Liu,"2024 IEEE 48th Annual Computers, Software, and Applications Conference (COMPSAC)",1382-1387,,,IEEE,,"2024 IEEE 48th Annual Computers, Software, and Applications Conference (COMPSAC)",2024-7-2,"The Cloud-Edge collaborative system, which combines the advantages of cloud computing and edge computing, has become the preferred architecture for large-scale distributed systems. However, prolonged high-load operation of Cloud-Edge collaborative system may result in software aging, significantly impacting the reliability of the Cloud-Edge collaborative system, especially in resource-constrained edge environments. Proactive rejuvenation can help restore system robustness, but it comes with costs and affects normal system operation. Determining the appropriate rejuvenation timing and implementing an efficient rejuvenation strategy are crucial. Since the reliability of the edge system is closely related to the stable operation of the entire Cloud-Edge collaborative system, this paper proposes a comprehensive rejuvenation model named SM-OLR. This model calculates the rejuvenation time for the edge system and performs the rejuvenation operation, which is divided into two stages. The first stage involves determining the rejuvenation timing. A Semi-Markov model is used to represent the system state. Specific distribution functions are fitted based on measured values to accurately describe the system's state transitions. This enables a more scientific modeling of the system's state and ensures precise calculation of rejuvenation timing. The second stage focuses on the rejuvenation strategy. In the Cloud-Edge collaborative environment, interactions between edge and cloud, and edge and edge are easily facilitated, making task offloading a highly effective rejuvenation method. The paper adopts task offloading as the rejuvenation strategy. The reinforcement learning algorithm SARSA is employed to dynamically decide the offloading decision for specific tasks. Experiments were conducted in KubeEdge, a representative Cloud-Edge system. The results demonstrate that SM-OLR incurs lower rejuvenation overhead compared to traditional reboot rejuvenation, and the edge system can continue to provide services during the rejuvenation process. By performing effective rejuvenation operations, the performance of the edge system can be improved by 57 %.",COMPSAC,hybrid,云、边缘计算环境
10.1109/issrew63542.2024.00110,Quantitative evaluation of software rejuvenation of a pool of service replicas,inproceedings,2024,Leonardo Scommegna; Marco Becattini; Giovanni Fontani; Leonardo Paroli; Enrico Vicario,2024 IEEE 35th International Symposium on Software Reliability Engineering Workshops (ISSREW),402-409,,,IEEE,,2024 IEEE 35th International Symposium on Software Reliability Engineering Workshops (ISSREW),2024-10-28,"Cloud-based systems require the management of large volumes of requests while maintaining specific levels of availability and performance. Each service is thus replicated into a pool of identical replicas. This allows for load distribution among the pool of replicas and a greater degree of fault tolerance compared to a single instance of the service that stands as a single point of failure. The high availability and scalability requirements, coupled with the phenomenon of software aging, have made the replica-based approach pervasive in modern online services. In such configurations, the unavailability of a single replica, due to scheduled maintenance or unexpected failures, does not imply the unavailability of the whole system but rather an increase in the load of the remaining replicas. This identifies a performability problem in which the system can tolerate a certain number of offline replicas in the pool. However, once a certain threshold is exceeded, the resulting high workload pending on the online replicas could degrade the performance of the system, potentially leading to a failure in meeting the non-functional requirements.In this work, we study the problem of aging in a pool of service replicas. We characterize two inspection-based rejuvenation strategies that could be implemented in this context, which we identify as uncoordinated and coordinated rejuvenation. We represent them through the formalism of Stochastic Time Petri Nets (STPN) and through steady-state analysis, we conduct a performability evaluation of both the models as the frequency of inspections and the pool size vary.",ISSREW,model-based,云
10.1109/issrew63542.2024.00111,Measurements and Models for Resiliency Assessment of VM clusters under Aging and Rejuvenation,inproceedings,2024,Alberto Avritzer; Andrea Janes; Andrea Marin; Daniel S. Menasché; Catia Trubiani; André B. Bondi; James J. Cusick,2024 IEEE 35th International Symposium on Software Reliability Engineering Workshops (ISSREW),410-417,,,IEEE,,2024 IEEE 35th International Symposium on Software Reliability Engineering Workshops (ISSREW),2024-10-28,"We present an empirical assessment of a heterogeneous VM (Virtual Machine) network. We evaluate the VM network performance using six resiliency strategies. For each resiliency strategy, we apply three software rejuvenation approaches. Therefore, our experimental design is composed of eighteen experiments. For each measurement, we present the experiment average normalized distance from the scalability requirement. Here, the scalability requirement is the average workload response time plus three standard deviations of response time, measured at low load. In addition, we plot, for each experiment sample, the instantaneous available memory and normalized distance of response time from the scalability requirement. We have also parameterized the discrete-time embedded Markov chain with rewards for each experiment, using a discrete representation of the available memory as the Markov chain state variable, and, the normalized distance from the scalability requirement as the state reward. Coloring the states of the Markov chain state transition diagram enabled new insights into the software aging and rejuvenation process, for each strategy, and software rejuvenation granularity level. We conclude by presenting an optimal synthetic resiliency strategy that was derived using Markov decision processes (MDPs). These MDPs are based on state spaces that map to a partition of the amount of available memory into disjoint, contiguous intervals.",ISSREW,hybrid,虚拟化系统&集群
