key,item type,year,author,title,booktitle,isbn,issn,doi,url,abstract note,date,date added,date modified,access date,pages,num pages,issue,volume,number of volumes,journal abbreviation,short title,series,series number,series text,series title,publisher,place,language,rights,type,archive,archive location,library catalog,call number,extra,notes,file attachments,link attachments,manual tags,automatic tags,editor,series editor,translator,contributor,attorney agent,book author,cast member,commenter,composer,cosponsor,counsel,interviewer,producer,recipient,reviewed author,scriptwriter,words by,guest,number,edition,running time,scale,medium,artwork size,filing date,application number,assignee,issuing authority,country,meeting name,conference name,court,references,reporter,legal status,priority numbers,programming language,version,system,code,code number,section,session,committee,history,legislative body
WCX84HP5,conferencePaper,2022,"Jia, Kai; Yu, Xiao; Zhang, Chen; Hu, Wenhua; Zhao, Dongdong; Xiang, Jianwen",The Impact of Software Aging and Rejuvenation on the User Experience for Android System,2022 IEEE 33rd International Symposium on Software Reliability Engineering (ISSRE),,,10.1109/ISSRE55969.2022.00049,,"In the Android system, software aging is an essential factor affecting user experience. Its occurrence will lead to poor responsiveness or crash/hang failure of the system. Recently, the strategies to schedule rejuvenation are marching toward a situation that needs to consider both usage behavioral aspects of its users (i.e., switch between active and sleep modes) and two-level software aging process (i.e., Operating System (OS) and Application Software (AS)), because rejuvenating the OS or AS during active time slot contributes to terrible user experience. To be able to achieve higher user experience and lower user interference, in this paper, we present to employ the Continuous Time Markov Chain (CTMC) model to study the impact of software aging and rejuvenation on user experience on two different rejuvenation strategies: condition-based and time-based rejuvenations. In contrast to the existing works, our models capture the interactions between usage behavioral aspects of users and two-level aging and rejuvenation. We then define three metrics to evaluate the user experience, including User-perceived (1) Fluency (UF), (2) Failure Probability (UFP), and (3) Availability (UA). The numerical analysis has the following noticed conclusions. The optimal value of UF yielded by condition-based rejuvenation reaches a 3.486% improvement over that of time-based. Therefore, the former is an appealing rejuvenation solution. Moreover, compared with single-level (OS and AS) rejuvenation models, two-level rejuvenation indeed improves the user experience. Concretely, the values of three metrics achieve 80.20% and 14.45%,83.39% and 98.45%, 0.004% and 0.048% improvements, respectively.",2022-10,2023-02-22 06:57:01,2024-10-12 06:09:05,,435-445,,,,,,,,,,,,,,,,,,IEEE Xplore,,ISSN: 2332-6549 CCF: B TLDR: The Continuous Time Markov Chain (CTMC) model is employed to study the impact of software aging and rejuvenation on user experience on two different rejuvenation strategies: condition-based and time-based rejuvenations.,,C:\Users\tristone\Zotero\storage\XHBIGSIG\9978973.html; C:\Users\tristone\Zotero\storage\IBVJW5AX\Jia 等 - 2022 - The Impact of Software Aging and Rejuvenation on the User Experience for Android System.pdf,,"分析方式：Model-based; 会议：ISSRE; 老化影响：非特定的; 模型：CTMC+用户行为模型; 系统类型：Android; 验证方法：数值分析; 指标：Fluency，Fluency (UF), Failure Probability (UFP), Availability (UA); 重生策略：two-level rejuvenation+用户行为; 重生层级：OS，APP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 IEEE 33rd International Symposium on Software Reliability Engineering (ISSRE),,,,,,,,,,,,,,,
R797WH33,conferencePaper,2022,"Liu, Zhihao; Zheng, Yang; Du, Xiaoting; Hu, Zheng; Ding, Wenjie; Miao, Yanming; Zheng, Zheng",Taxonomy of Aging-related Bugs in Deep Learning Libraries,2022 IEEE 33rd International Symposium on Software Reliability Engineering (ISSRE),,,10.1109/ISSRE55969.2022.00048,,"Deep learning libraries are the cornerstone of deep learning systems, and millions of deep learning applications are built on top of deep learning libraries. Due to long-term continuous running, many numerical operations and heavy dependence on resources, deep learning libraries are prone to the effects of software aging. Aging in deep learning libraries can threaten the reliability of deep learning systems and make training and application of deep learning more time-consuming and expensive, causing users to lose confidence in it. In this work, we manually screened 138 bug reports containing aging-related bugs from a total of 13,694 bug reports in four popular deep learning libraries (i.e., TensorFlow, MXNET, PaddlePaddle and MindSpore). We analyzed the information in these 138 bug reports to answer three questions: What categories of aging-related bugs exist in deep learning libraries? What is the distribution of different categories of aging-related bugs in deep learning libraries? Which deep learning phases are most susceptible to software aging? Finally, we conducted a fine-grained taxonomy of aging-related bugs, including four levels and seventeen categories, and obtained eight important findings with corresponding practical implications.",2022-10,2023-01-04 02:12:53,2024-10-05 03:46:39,,423-434,,,,,,,,,,,,,,,,,,IEEE Xplore,,"ISSN: 2332-6549 CCF: B TLDR: This work manually screened 138 bug reports containing aging-related bugs from a total of 13,694 bug reports in four popular deep learning libraries, conducted a fine-grained taxonomy of aging- related bugs, including four levels and seventeen categories, and obtained eight important findings with corresponding practical implications.","<div data-schema-version=""8""><p>概述：<code>通过对深度学习库缺陷的实证研究分析深度学习库中的老化相关缺陷类别和特征</code></p> </div>; <div data-schema-version=""8""><p>优点：根据深度学习库的特点将缺陷分为了17各类别，并分析了深度学习生命周期五个阶段中哪个阶段更容易出现老化相关的失败</p> </div>",C:\Users\tristone\Zotero\storage\FDELG52Q\9978954.html; C:\Users\tristone\Zotero\storage\SCDPDH3E\Liu 等 - 2022 - Taxonomy of Aging-related Bugs in Deep Learning Libraries.pdf,,会议：ISSRE; 老化影响：非特定的; 验证方法：逻辑推理; 系统类型：深度学习库; 分析方式：分析bug报告,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 IEEE 33rd International Symposium on Software Reliability Engineering (ISSRE),,,,,,,,,,,,,,,
BW82YFTC,conferencePaper,2022,"Tan, Xueyong; Liu, Jing",EWDLL: Software Aging State Identification based on LightGBM-LR Hybrid Model,"2022 IEEE 22nd International Conference on Software Quality, Reliability and Security (QRS)",,,10.1109/QRS57517.2022.00117,https://ieeexplore.ieee.org/document/10062368/?arnumber=10062368,"Android systems are prone to software aging due to the accumulation of numerical errors and storage-related bugs during long-term operation, resulting in gradual performance degradation and sudden system hang-ups. Thus, it is very critical to accurately identify the aging state for improving the running reliability of Android systems. In this paper, we propose a novel software aging state identification method, named EWDLL. It first introduces the exponential Weibull distribution to simulate the aging state transfer process of the Android system, then it uses Fuzzy Analytical Hierarchy Process (FAHP) to weight the model parameters and resource utilization parameters. Finally, the weighted dataset is fed into the LightGBM-LR model to identify the software state. The experimental results show that our EWDLL method performs better in identifying the software aging state for Android system, i.e., it is 0.86% to 1.09% higher in identification accuracy than the pure LightGBM-LR model, about 10.00% and 4.54% to 4.95% higher than the traditional models KNN and RF, and 1.97% to 3.09% higher than single LightGBM model. Compared with the LR model, it has a maximum accuracy improvement of about 33.29% to 35.64%.",2022-12,2024-07-23 08:53:18,2024-08-14 07:55:26,2024-07-23 08:53:18,1146-1158,,,,,,EWDLL,,,,,,,,,,,,IEEE Xplore,,ISSN: 2693-9177 CCF: C,"<div data-schema-version=""8""><p>通过整合EW分布、FAHP和LightGBM-LR模型，有效提高了Android系统软件老化状态的识别准确性</p> </div>",C:\Users\tristone\Zotero\storage\LTME2A5N\10062368.html; C:\Users\tristone\Zotero\storage\NYUF3V6D\Tan和Liu - 2022 - EWDLL Software Aging State Identification based on LightGBM-LR Hybrid Model.pdf,,系统类型：Android; 分析方式：Hybrid; 会议：QRS; 验证方法：实验实证&比较分析&对比分析; 老化影响：内存消耗，CPU利用率上升，性能降级; 模型：EW分布，LightGBM; 指标：内存，CPU，帧绘制指标,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022 IEEE 22nd International Conference on Software Quality, Reliability and Security (QRS)",,,,,,,,,,,,,,,
2T786WLD,conferencePaper,2022,"Pietrantuono, Roberto; Cotroneo, Domenico; Andrade, Ermeson; Machida, Fumio",An Empirical Study on Software Aging of Long-Running Object Detection Algorithms,"2022 IEEE 22nd International Conference on Software Quality, Reliability and Security (QRS)",,,10.1109/QRS57517.2022.00112,https://ieeexplore.ieee.org/document/10062425,"Efficient and effective object detection is a key problem in Computer Vision. Numerous object detection algorithms have been developed, whose aim is to achieve two conflicting goals, namely accuracy and efficiency, while being executed in real-time with high robustness. Many of these algorithms must run for an extended period of time, i.e., in video surveillance or in self-driving cars – a working condition that make them subject to the risk of software aging.In this work, we focus on evaluating several object detection algorithms to understand if and to what extent they are affected by software aging. A measurement-based aging approach was adopted, with a series of long-running tests and subsequent data analysis. The results report significant trends of performance degradation, sometimes leading to aging-related failures, as well as memory consumption trends, which turned out to be the main issue across all the experiments.",2022-12,2024-07-23 08:32:22,2024-08-16 02:47:22,2024-07-23 08:32:22,1091-1102,,,,,,,,,,,,,,,,,,IEEE Xplore,,ISSN: 2693-9177 CCF: C,"<div data-schema-version=""8""><p>评估几种目标检测算法在长时间运行中是否会受到软件老化的影响，以及影响的程度</p> </div>",C:\Users\tristone\Zotero\storage\7GDGHRDE\10062425.html; C:\Users\tristone\Zotero\storage\796W6TDA\Pietrantuono 等 - 2022 - An Empirical Study on Software Aging of Long-Running Object Detection Algorithms.pdf,,会议：QRS; 验证方法：实验实证; 分析方式：现象分析&度量; 老化影响：性能降级&资源消耗; 模型：MK，Sen's; 系统类型：深度学习系统（目标检测软件）; 指标：处理帧数，内存,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022 IEEE 22nd International Conference on Software Quality, Reliability and Security (QRS)",,,,,,,,,,,,,,,
L23SZMWV,journalArticle,2021,"Zheng, Junjun; Okamura, Hiroyuki; Dohi, Tadashi",Availability Analysis of Software Systems with Rejuvenation and Checkpointing,Mathematics,,2227-7390,10.3390/math9080846,https://www.mdpi.com/2227-7390/9/8/846,"In software reliability engineering, software-rejuvenation and -checkpointing techniques are widely used for enhancing system reliability and strengthening data protection. In this paper, a stochastic framework composed of a composite stochastic Petri reward net and its resulting non-Markovian availability model is presented to capture the dynamic behavior of an operational software system in which time-based software rejuvenation and checkpointing are both aperiodically conducted. In particular, apart from the software-aging problem that may cause the system to fail, human-error factors (i.e., a system operator’s misoperations) during checkpointing are also considered. To solve the stationary solution of the non-Markovian availability model, which is derived on the basis of the reachability graph of stochastic Petri reward nets and is actually not one of the trivial stochastic models such as the semi-Markov process and the Markov regenerative process, the phase-expansion approach is considered. In numerical experiments, we illustrate steady-state system availability and find optimal software-rejuvenation policies that maximize steady-state system availability. The effects of human-error factors on both steady-state system availability and the optimal software-rejuvenation trigger timing are also evaluated. Numerical results showed that human errors during checkpointing both decreased system availability and brought a significant effect on the optimal rejuvenation-trigger timing, so that it should not be overlooked during system modeling.",2021-01,2024-07-29 07:23:37,2024-10-03 03:19:15,2024-07-29 07:23:37,846,,8.0,9.0,,Mathematics,,,,,,,,en,http://creativecommons.org/licenses/by/3.0/,,,,www.mdpi.com,,Number: 8 Publisher: Multidisciplinary Digital Publishing Institute JCR分区: Q1 中科院分区升级版: 数学3区 影响因子: 2.3 5年影响因子: 2.2 南农高质量: A,"<div data-schema-version=""8""><p>建立一个宏观系统模型，包含复合随机奖励网（SRN）及其非马尔可夫状态转移图，以模拟系统的动态行为。通过数值实验，本文评估了系统的稳态可用性，确定了最大化稳态系统可用性的最优软件再生策略，并量化了人为错误因素的影响。</p> </div>",C:\Users\tristone\Zotero\storage\4YY3CK85\Zheng 等 - 2021 - Availability Analysis of Software Systems with Rejuvenation and Checkpointing.pdf,,分析方式：Model-based; 验证方法：数值分析; 老化影响：崩溃/挂起故障; 系统类型：非特定的; 模型：SRN，相图扩展,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3HC74TNP,journalArticle,2021,"Khleel, Nasraldeen Alnor Adam; Nehéz, K.",Comprehensive Study on Machine Learning Techniques for Software Bug Prediction,International Journal of Advanced Computer Science and Applications,,,10.14569/ijacsa.2021.0120884,,"The results of this study demonstrated that the proposed models performed better than other models that used the same data sets and show that machine learning algorithms can be used effectively for prediction of bugs. Software bugs are defects or faults in computer programs or systems that cause incorrect or unexpected operations. These negatively affect software quality, reliability, and maintenance cost; therefore many researchers have already built and developed several models for software bug prediction. Till now, a few works have been done which used machine learning techniques for software bug prediction. The aim of this paper is to present comprehensive study on machine learning techniques that were successfully used to predict software bug. Paper also presents a software bug prediction model based on supervised machine learning algorithms are Decision Tree (DT), Naïve Bayes (NB), Random Forest (RF) and Logistic Regression (LR) on four datasets. We compared the results of our proposed models with those of the other studies. The results of this study demonstrated that our proposed models performed better than other models that used the same data sets. The evaluation process and the results of the study show that machine learning algorithms can be used effectively for prediction of bugs. Keywords—Static code analysis; software bug prediction; software metrics; machine learning techniques",2021,2022-10-13 12:40:09,2024-10-12 06:21:25,,,,,,,International Journal of Advanced Computer Science and Applications,,,,,,,,en-US,,,,,Semantic Scholar,,影响因子: 0.7 5年影响因子: 0.8 EI: 是 TLDR: The results of this study demonstrated that the proposed models performed better than other models that used the same data sets and show that machine learning algorithms can be used effectively for prediction of bugs.,"<div data-schema-version=""8""><p>概述：将一种新的TLAP方法应用于ARB的跨项目预测中</p> </div>",C:\Users\tristone\Zotero\storage\TIPNM22P\Khleel和Nehéz - 2021 - Comprehensive Study on Machine Learning Techniques for Software Bug Prediction.pdf; ,https://www.semanticscholar.org/paper/Comprehensive-Study-on-Machine-Learning-Techniques-Khleel-Neh%C3%A9z/b9c71088cd490c66e47025f0b2d52dfb98285ae2,测试方法：静态代码预测; 分析方式：ARB prediction; 模型：DT，NB，RF，LR; 期刊：IJACSA; 系统类型：Linux，MySQL; 验证方法：实验实证&比较分析; 指标：F1-score，Accuracy，Recall，Precision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDBL84I8,journalArticle,2021,"Chouhan, S. S.; Rathore, S.",Generative Adversarial Networks-Based Imbalance Learning in Software Aging-Related Bug Prediction,IEEE Transactions on Reliability,,,10.1109/TR.2021.3052510,,"An oversampling approach, generative adversarial networks-based synthetic data generation-based ARBs prediction models and experimental results showed that the presented approach led to the improved performance of prediction models for the ARBs Prediction as compared to the other state-of-the-art models. Software aging refers to a problem of performance decay in the software systems, which are running for a long period. The primary cause of this phenomenon is the accumulation of run-time errors in the software, which are also known as aging-related bugs (ARBs). Many efforts have been reported earlier to predict the origin of ARBs in the software so that these bugs can be identified and fixed during testing. Imbalanced dataset, where the representation of ARBs patterns is very less as compared to the representation of the non-ARBs pattern significantly hinders the performance of the ARBs prediction models. Therefore, in this article, we present an oversampling approach, generative adversarial networks-based synthetic data generation-based ARBs prediction models. The approach uses generative adversarial networks to generate synthetic samples for the ARBs patterns in the given datasets implicitly and build the prediction models on the processed datasets. To validate the performance of the presented approach, we perform an experimental study for the seven ARBs datasets collected from the public repository and use various performance measures to evaluate the results. The experimental results showed that the presented approach led to the improved performance of prediction models for the ARBs prediction as compared to the other state-of-the-art models.",2021,2022-10-13 12:40:09,2024-10-10 12:20:11,,,,,,,IEEE Trans. Rel.,,,,,,,,en-US,,,,,5.883,2.0,"JCR分区: Q1 中科院分区升级版: 计算机科学2区 影响因子: 5.0 5年影响因子: 5.2 EI: 是 CCF: C TLDR: An oversampling approach, generative adversarial networks-based synthetic data generation-based ARBs prediction models and experimental results showed that the presented approach led to the improved performance of prediction models for the ARBs Prediction as compared to the other state-of-the-art models.","<div data-schema-version=""8""><p>备注：静态分析度量指标预测ARB位置</p> </div>; <div data-schema-version=""8""><p>不足：研究结果仅限于文章中考虑的系统</p> </div>; <div data-schema-version=""8""><p>概述：基于生成对抗网络的合成数据ARB预测模型</p> </div>; <div data-schema-version=""8""><p>优点：进行ARB预测的指标及数据集都相当充分</p> </div>",C:\Users\tristone\Zotero\storage\EMVU6YUP\Chouhan和Rathore - 2021 - Generative Adversarial Networks-Based Imbalance Learning in Software Aging-Related Bug Prediction.pdf; ,https://www.semanticscholar.org/paper/Generative-Adversarial-Networks-Based-Imbalance-in-Chouhan-Rathore/cd671333d39700fba4d0e0945117775779cae94d,验证方法：实验实证&比较分析; 老化影响：非特定的; 期刊：TR; 测试方法：静态代码预测; 系统类型：Linux，MySQL; 模型：GANSYN+KNN，RF，LR，NB，SVM，Decision Tree; 指标：程序大小相关度量、Cyclomatic复杂性、Halstead度量和老化相关度量等82个源代码和复杂性度量；Accuracy，Precision，recall，MCC，G-mean，AUC，F1-score等; 分析方式：ARB prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X2KGFNM4,journalArticle,2021,"Du, Xiaoting; Zheng, Zheng; Xiao, Guanping; Zhou, Zenghui; Trivedi, Kishor S.",DeepSIM: Deep Semantic Information-Based Automatic Mandelbug Classification,IEEE Transactions on Reliability,,1558-1721,10.1109/TR.2021.3110096,,"Understanding and predicting types of bugs are of practical importance for developers to improve the testing efficiency and take appropriate steps to address bugs in software releases. However, due to the complex conditions under which faults manifest and the complexity of the classification rules, the automatic classification of Mandelbugs is a difficult task. In this article, we present a deep semantic information-based Mandelbug classification method that combines a semantic model with a deep learning classifier and makes use of both labeled and unlabeled bug reports. By training the bug report semantic model on millions of bug reports, each word in the text of a bug report is represented as a word embedding that preserves the semantic relationship among the words. Then, a convolutional neural network model is designed to capture the high-level features of bug reports to obtain a more accurate classification. Moreover, the effects of the semantic model size and domain on the classification results are investigated, and the quality of word embeddings is evaluated by analyzing several important parameters.",2021,2022-03-09 08:06:59,2024-09-19 11:51:59,,1-15,,,,,IEEE Trans. Rel.,DeepSIM,,,,,,,en-US,,,,,5.883,2.0,Conference Name: IEEE Transactions on Reliability JCR分区: Q1 中科院分区升级版: 计算机科学2区 影响因子: 5.0 5年影响因子: 5.2 EI: 是 CCF: C TLDR: A deep semantic information-based Mandelbug classification method that combines a semantic model with a deep learning classifier and makes use of both labeled and unlabeled bug reports is presented.,"<div data-schema-version=""8""><p>概述：<code>基于word2vec和CNN的缺陷报告自动分类</code></p> </div>",C:\Users\tristone\Zotero\storage\W5RA2V3L\Du 等 - 2021 - DeepSIM Deep Semantic Information-Based Automatic Mandelbug Classification.pdf; C:\Users\tristone\Zotero\storage\CKEHYAXZ\9551693.html,,验证方法：实验实证&比较分析; 老化影响：非特定的; 期刊：TR; 分析方式：Classification; 指标：F度量、准确性; 模型：Word2vec+CNN; 系统类型：Linux、MySQL、AXIS、HTTPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTGM2E4W,journalArticle,2021,"Vizarreta, Petra; Sieber, Christian; Blenk, Andreas; Van Bemten, Amaury; Ramachandra, Vinod; Kellerer, Wolfgang; Mas-Machuca, Carmen; Trivedi, Kishor",ARES: A Framework for Management of Aging and Rejuvenation in Softwarized Networks,IEEE Transactions on Network and Service Management,,1932-4537,10.1109/TNSM.2020.3030589,,"The recent trend of network softwarization suggests a radical shift in the implementation of traditional network intelligence. In Software Defined Networking (SDN), for instance, the control plane functions of forwarding devices are outsourced to the controller. Softwarized network components are expected to provide uninterrupted service during long periods of time, which makes them prone to the effects of software aging, a phenomena that has been observed in operational software systems where the failure rate increases or the performance of the software degrades with the elapsed time since the last restart. The effects of software aging in operational networks are typically mitigated by software rejuvenation, i.e., planned restarts cleaning the internal system state in order to prevent or postpone aging-related failures. This article presents ARES, a three-step methodological framework for the management of the effects of software aging in softwarized networks, applied to the case study of open source SDN orchestration platforms. Using ARES, we demonstrate that software aging is a systematic problem that cannot be neglected in network orchestration systems. It stems not only from aging-related bugs and natural aging due to fragmentation, but also from design choices, e.g., when implementing distributed systems. Measurements for Open Network Operating System (ONOS) and OpenDaylight (ODL) demonstrate how “simple” and common networking tasks let network performance degrade rapidly and even lead to crashes: for instance, adding and removing 300 intents per second in ONOS significantly increases the response time by 50% per day and depletes the memory at the rate of 18GB per day. Moreover, we demonstrate a first rejuvenation approach that can mitigate the effects of aging in ONOS.",2021-06,2023-01-10 09:06:53,2024-09-20 07:27:54,,1389-1400,,2.0,18.0,,IEEE Trans. Netw. Service Manag.,ARES,,,,,,,,,,,,4.758,2.0,"Conference Name: IEEE Transactions on Network and Service Management JCR分区: Q1 中科院分区升级版: 计算机科学2区 影响因子: 4.7 5年影响因子: 4.6 EI: 是 CCF: C TLDR: ARES, a three-step methodological framework for the management of the effects of software aging in softwarized networks, is applied to the case study of open source SDN orchestration platforms and demonstrated that software aging is a systematic problem that cannot be neglected in network orchestration systems.","<div data-schema-version=""8""><p>概述：介绍了<span style=""color: rgb(0, 0, 0)"">一种用于管理软件定义网络中软件老化影响的三步方法框架——ARES</span></p> </div>",C:\Users\tristone\Zotero\storage\JNSEFS23\9222270.html; C:\Users\tristone\Zotero\storage\DXQQA6VC\Vizarreta 等 - 2021 - ARES A Framework for Management of Aging and Rejuvenation in Softwarized Networks.pdf; C:\Users\tristone\Zotero\storage\QD4Q5WVY\Vizarreta 等 - 2021 - ARES A Framework for Management of Aging and Rejuvenation in Softwarized Networks.pdf,,验证方法：实验实证; 老化影响：性能降级，资源泄露; 期刊：TNSM; 系统类型：SDN; 指标：CPU利用率，内存利用率; 重生层级：docker容器; 分析方式：Measurement-based（阈值）&bug report&measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZT6DXE,journalArticle,2021,"Padhy, Neelamadhab; Panigrahi, Rasmita; Neeraja, K.","Threshold estimation from software metrics by using evolutionary techniques and its proposed algorithms, models",Evolutionary Intelligence,,1864-5917,10.1007/s12065-019-00201-0,https://doi.org/10.1007/s12065-019-00201-0,"The software metrics play the important role in the software industry. As the software industry growing in size and complexity enhanced support is mandatory for computing and managing the software quality. Quality measurement is one of the key features of the manager in the software industry; where threshold plays the crucial role. Software measurement is necessary by means for evaluating different quality attributes and characteristics, such as size, complexity, maintainability, and usability. Instead of that effective and efficient software system is straightforward dependent on the meaning of suitable thresholds. The objective of this paper is to estimate the threshold values from software metrics by using novel evolutionary intelligence techniques. The threshold and aging software design optimization algorithms and models to prevent software aging by using machine learning (evolutionary algorithms). Apart from the above-mentioned techniques, this paper also proposed a novel threshold estimation, aging, and survivability aware (sensitive) reusability optimization model of an object-oriented software system. To expand firmness, aging and survivability aware (sensitive) optimization threshold scheme aging prediction and software rejuvenation model and algorithms proposed.",2021-06-01,2022-01-22 06:52:49,2024-10-12 06:22:55,2022-01-22 06:52:49,315-329,,2.0,14.0,,Evolutionary Intelligence,,,,,,,,en-US,,,,,,,影响因子: 2.3 5年影响因子: 2.4 EI: 是 TLDR: The objective of this paper is to estimate the threshold values from software metrics by using novel evolutionary intelligence techniques to prevent software aging by using machine learning (evolutionary algorithms).,"<div data-schema-version=""8""><p>概述：基于进化算法的软件老化预测与重生模型的阈值估计方法</p> </div>",C:\Users\tristone\Zotero\storage\SQI8YKTE\Padhy 等 - 2021 - Threshold estimation from software metrics by using evolutionary techniques and its proposed algorit.pdf,,分析方式：度量; 模型：ASROM; 期刊：EI; 系统类型：面向对象的软件; 验证方法：实验实证,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLWC9IPC,conferencePaper,2021,"Araujo, Jean; Melo, Carlos; Oliveira, Felipe; Pereira, Paulo; Matos, Rubens",A Software Maintenance Methodology: An Approach Applied to Software Aging,2021 IEEE International Systems Conference (SysCon),,,10.1109/SysCon48628.2021.9447082,,"The increasing use of computational systems has highlighted concerns about attributes that may influence the quality of service, such as performance, availability, reliability, and maintenance capacity. Failures in the software development process may impact these attributes. Flawed code and overall software misdesign may cause internal errors, leading to system malfunction. Some errors might be identified and fixed during the software testing process. However, other errors may manifest only during the production stage. This is the case of the software aging phenomenon, which is related to the progressive degradation that a software performance or reliability suffers during its operational life. This paper proposes a methodology for software maintenance that is tailored to identify, correct, and mitigate the software aging effects. If the source code can be modified and a new version deployed with minimal impact, thus data from aging detection is used for corrective maintenance, i.e., for fixing the bug that causes the aging effects. If the software cannot be fixed nor its version updated without long system interruption or other bad consequences, then our approach can mitigate the aging effects, in a preventive maintenance to avoid service outages. The proposed methodology is validated through both Stochastic Petri Net (SPN) models and experiments in a controlled environment. The model evaluation considering a hybrid maintenance routine (preventive and corrective) yielded an availability of 99.82%, representing an annual downtime of 15.9 hours. By contrast, the baseline scenario containing only reactive maintenance (i.e., repairing only after failure) had more than 1342 hours of annual downtime- 80 times higher than the proposed approach.",2021-04,2022-01-22 06:51:55,2024-08-14 07:51:35,,1-8,,,,,,A Software Maintenance Methodology,,,,,,,en-US,,,,,,,ISSN: 2472-9647,"<div data-schema-version=""8""><p>不足：？</p> </div>; <div data-schema-version=""8""><p>概述：提出了一种结合预防性和反应性维护的老化软件维护方案</p> </div>; <div data-schema-version=""8""><p>优点：采用了应用程序和系统状态的混合维护策略，在缓解老化影响中有显著改善</p> </div>",C:\Users\tristone\Zotero\storage\P6BND38T\Araujo 等 - 2021 - A Software Maintenance Methodology An Approach Applied to Software Aging.pdf; C:\Users\tristone\Zotero\storage\7URDHTEB\9447082.html,,分析方式：Model-based; 重生层级：非特定的; 会议：SysCon; 老化影响：崩溃/挂起故障; 模型：SPN; 系统类型：非特定的; 验证方法：数值分析&实验实证; 指标：downtime cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 IEEE International Systems Conference (SysCon),,,,,,,,,,,,,,,
8IEFE5DA,conferencePaper,2021,"Liang, Mengting; Li, Dimeng; Xu, Bin; Zhao, Dongdong; Yu, Xiao; Xiang, Jianwen",Within-Project Software Aging Defect Prediction Based on Active Learning,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),,,10.1109/ISSREW53611.2021.00037,https://ieeexplore.ieee.org/document/9700247,"Long-running software systems tend to exhibit performance degradation and increase failure rate, and the phenomenon is known as software aging. The bugs that cause the aging phenomenon are called Aging-Related Bugs (ARBs), and may bring serious economic loss or even endanger human security. To discover and remove ARBs, ARBs prediction is presented. But ARBs prediction model often needs a large number of training data in order to train a high performance classification model. In practice, the labeled data are rare in many cases. In addition, it is difficult to label all samples manually. Furthermore, there is a serious class imbalance problem in ARBs datasets. In order to address the two problems, we propose a framework named QUIRE-HUE. On the one hand, we use a approach named Active Learning by Querying Informative and Representative Examples (QUIRE) to select a few informative and representative samples to label for training set, which can reduce the cost of labeling and get a high performance classification model. On the other hand, we apply a Hashing-Based Undersampling Ensemble (HUE) by constructing diversified training subspaces for undersampling to alleviate class imbalance problem. A set of experiments are performed on two large open-source projects (MySQL, Linux) with six different machine learning classifiers. We use Balance and AUC as the evaluation metrics. Experimental results indicate that QUIRE-HUE achieves encouraging results. Average AUC and Balance are 0.769 and 0.812 respectively on MySQL dataset, 0.772 and 0.828 respectively on Linux dataset, which significantly outperforms all baseline methods.",2021-10,2024-07-23 08:55:10,2024-10-10 12:20:49,2024-07-23 08:55:10,1-8,,,,,,,,,,,,,,,,,,IEEE Xplore,,CCF: B,"<div data-schema-version=""8""><p>基于主动学习选择少量信息量大且具有代表性的样本进行标注，散列下采样集成缓解类别不平衡问题，进行老化缺陷预测</p> </div>",C:\Users\tristone\Zotero\storage\RMGDRI6U\Liang 等 - 2021 - Within-Project Software Aging Defect Prediction Based on Active Learning.pdf,,"验证方法：实验实证&对比分析; 会议：ISSREW; 系统类型：Linux，MySQL; 模型：QUIRE-HUE; 判定指标：AUC, Balance; 指标：程序大小相关度量、复杂性度量和老化相关度量; 分析方式：ARB prediction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),,,,,,,,,,,,,,,
